date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:17	253681/253681	---M-Z	200	added ('OK')	application/x-javascript	etag:%223def1-65d0cae5-598e268a5b86fae0;gz%22	https://html.xpressbuddy.com/purefit/assets/js/jquery-ui.min.js	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/js/jquery-ui.min.js	(from https://html.xpressbuddy.com/purefit/index.html)
00:14:17	308168/308168	---M--	200	added ('OK')	image/png	etag:%224b3c8-65d0cae5-540f50398059b221;;;%22	https://html.xpressbuddy.com/purefit/assets/img/bg/footer_bg.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/img/bg/footer_bg.png	(from https://html.xpressbuddy.com/purefit/index.html)
00:14:18	125016/125016	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%221e858-65d0cae5-c913f64cd4d42524;gz%22	https://html.xpressbuddy.com/purefit/assets/fonts/fa-brands-400.ttf	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/fonts/fa-brands-400.ttf	(from https://html.xpressbuddy.com/purefit/assets/css/fontawesome.css)
00:14:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/purefit/assets/css/images/ui-icons_444444_256x240.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/css/images/ui-icons_444444_256x240.5f.delayed	(from https://html.xpressbuddy.com/purefit/assets/css/jquery-ui.min.css)
00:14:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/purefit/assets/css/images/ui-icons_555555_256x240.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/css/images/ui-icons_555555_256x240.png	(from https://html.xpressbuddy.com/purefit/assets/css/jquery-ui.min.css)
00:14:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/purefit/assets/css/images/ui-icons_ffffff_256x240.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/css/images/ui-icons_ffffff_256x240.png	(from https://html.xpressbuddy.com/purefit/assets/css/jquery-ui.min.css)
00:14:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/purefit/assets/css/images/ui-icons_777620_256x240.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/css/images/ui-icons_777620_256x240.png	(from https://html.xpressbuddy.com/purefit/assets/css/jquery-ui.min.css)
00:14:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/purefit/assets/css/images/ui-icons_cc0000_256x240.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/css/images/ui-icons_cc0000_256x240.png	(from https://html.xpressbuddy.com/purefit/assets/css/jquery-ui.min.css)
00:14:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/purefit/assets/css/images/ui-icons_777777_256x240.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/css/images/ui-icons_777777_256x240.png	(from https://html.xpressbuddy.com/purefit/assets/css/jquery-ui.min.css)
00:14:23	221/221	---M--	200	added ('OK')	image/png	etag:%22dd-65d0cae5-f27ae15c934687cf;;;%22	https://html.xpressbuddy.com/purefit/assets/img/icon/select-arrow.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/img/icon/select-arrow.png	(from https://html.xpressbuddy.com/purefit/assets/css/main.css)
00:14:23	342/342	---M--	200	added ('OK')	image/png	etag:%22156-65d0cae5-8768831d4cb40279;;;%22	https://html.xpressbuddy.com/purefit/assets/img/icon/s_left.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/img/icon/s_left.png	(from https://html.xpressbuddy.com/purefit/assets/css/main.css)
00:14:23	344/344	---M--	200	added ('OK')	image/png	etag:%22158-65d0cae5-5ce5f15365a4bb12;;;%22	https://html.xpressbuddy.com/purefit/assets/img/icon/s_right.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/img/icon/s_right.png	(from https://html.xpressbuddy.com/purefit/assets/css/main.css)
00:14:23	835/835	---M-Z	200	added ('OK')	image/svg+xml	etag:%22343-65d0cae5-f1adffe10b7e2d18;gz%22	https://html.xpressbuddy.com/purefit/assets/img/icon/sms-tracking2.svg	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/img/icon/sms-tracking2.svg	(from https://html.xpressbuddy.com/purefit/assets/css/main.css)
00:14:24	5332/5332	---M--	200	added ('OK')	image/png	etag:%2214d4-65d0cae5-f9941c90c97735b1;;;%22	https://html.xpressbuddy.com/purefit/assets/img/logo/preloader2.png	C:/Users/Mega-PC/Desktop/5eme/django/projet%205eme/template/html.xpressbuddy.com/purefit/assets/img/logo/preloader2.png	(from https://html.xpressbuddy.com/purefit/home-2.html)
